Geography,Year,Category,Industry Space Use,Value
Port Melbourne,2036,Jobs by industry,Manufacturing,2743
Port Melbourne,2041,Jobs by industry,Manufacturing,2594
Port Melbourne,2023,Jobs by industry,Other services,205
Port Melbourne,2024,Jobs by industry,Other services,208
Port Melbourne,2026,Jobs by industry,Other services,215
Port Melbourne,2027,Jobs by industry,Other services,220
Port Melbourne,2028,Jobs by industry,Other services,226
Port Melbourne,2029,Jobs by industry,Other services,232
Port Melbourne,2030,Jobs by industry,Other services,240
Port Melbourne,2037,Jobs by industry,Other services,175
Port Melbourne,2041,Jobs by industry,Other services,217
Port Melbourne,2026,Jobs by industry,Public administration and safety,1078
Port Melbourne,2029,Jobs by industry,Public administration and safety,1153
Port Melbourne,2032,Jobs by industry,Public administration and safety,1207
Port Melbourne,2033,Jobs by industry,Public administration and safety,1182
Port Melbourne,2034,Jobs by industry,Public administration and safety,1128
Port Melbourne,2038,Jobs by industry,Public administration and safety,1026
Port Melbourne,2024,Jobs by industry,Real estate services,55
Port Melbourne,2026,Jobs by industry,Real estate services,59
Port Melbourne,2029,Jobs by industry,Real estate services,62
Port Melbourne,2030,Jobs by industry,Real estate services,63
Port Melbourne,2033,Jobs by industry,Real estate services,38
Port Melbourne,2035,Jobs by industry,Real estate services,25
Port Melbourne,2037,Jobs by industry,Real estate services,26
Port Melbourne,2041,Jobs by industry,Real estate services,28
Port Melbourne,2025,Jobs by industry,Rental and hiring services,210
Port Melbourne,2026,Jobs by industry,Rental and hiring services,224
Port Melbourne,2031,Jobs by industry,Rental and hiring services,196
Port Melbourne,2033,Jobs by industry,Rental and hiring services,129
Port Melbourne,2034,Jobs by industry,Rental and hiring services,101
Port Melbourne,2035,Jobs by industry,Rental and hiring services,79
Port Melbourne,2036,Jobs by industry,Rental and hiring services,80
Port Melbourne,2037,Jobs by industry,Rental and hiring services,80
Port Melbourne,2038,Jobs by industry,Rental and hiring services,81
Port Melbourne,2039,Jobs by industry,Rental and hiring services,81
Port Melbourne,2021,Jobs by industry,Retail trade,342
Port Melbourne,2022,Jobs by industry,Retail trade,346
Port Melbourne,2031,Jobs by industry,Retail trade,442
Port Melbourne,2021,Jobs by industry,"Transport, postal and storage",2273
Port Melbourne,2024,Jobs by industry,"Transport, postal and storage",2406
Port Melbourne,2026,Jobs by industry,"Transport, postal and storage",2534
Port Melbourne,2036,Jobs by industry,"Transport, postal and storage",1948
Port Melbourne,2038,Jobs by industry,"Transport, postal and storage",1915
Port Melbourne,2039,Jobs by industry,"Transport, postal and storage",1897
Port Melbourne,2040,Jobs by industry,"Transport, postal and storage",1879
Port Melbourne,2041,Jobs by industry,"Transport, postal and storage",1902
Port Melbourne,2021,Jobs by industry,Wholesale trade,1358
Port Melbourne,2028,Jobs by industry,Wholesale trade,1355
Port Melbourne,2029,Jobs by industry,Wholesale trade,1367
Port Melbourne,2030,Jobs by industry,Wholesale trade,1381
Port Melbourne,2031,Jobs by industry,Wholesale trade,1218
Port Melbourne,2033,Jobs by industry,Wholesale trade,856
Port Melbourne,2037,Jobs by industry,Wholesale trade,496
Port Melbourne,2041,Jobs by industry,Wholesale trade,457
South Yarra,2022,Jobs by industry,Accommodation,12
South Yarra,2023,Jobs by industry,Accommodation,11
South Yarra,2024,Jobs by industry,Accommodation,12
South Yarra,2025,Jobs by industry,Accommodation,18
South Yarra,2028,Jobs by industry,Accommodation,21
South Yarra,2030,Jobs by industry,Accommodation,21
South Yarra,2032,Jobs by industry,Accommodation,21
South Yarra,2033,Jobs by industry,Accommodation,21
South Yarra,2034,Jobs by industry,Accommodation,21
South Yarra,2037,Jobs by industry,Accommodation,21
South Yarra,2040,Jobs by industry,Accommodation,21
South Yarra,2023,Jobs by industry,Admin and support services,5
South Yarra,2025,Jobs by industry,Admin and support services,4
South Yarra,2026,Jobs by industry,Admin and support services,5
South Yarra,2033,Jobs by industry,Admin and support services,4
South Yarra,2024,Jobs by industry,Agriculture and mining,0
South Yarra,2027,Jobs by industry,Agriculture and mining,0
South Yarra,2028,Jobs by industry,Agriculture and mining,0
South Yarra,2030,Jobs by industry,Agriculture and mining,0
South Yarra,2032,Jobs by industry,Agriculture and mining,0
South Yarra,2033,Jobs by industry,Agriculture and mining,0
South Yarra,2038,Jobs by industry,Agriculture and mining,0
South Yarra,2039,Jobs by industry,Agriculture and mining,0
South Yarra,2023,Jobs by industry,Arts and recreation services,24
South Yarra,2025,Jobs by industry,Arts and recreation services,24
South Yarra,2026,Jobs by industry,Arts and recreation services,24
South Yarra,2034,Jobs by industry,Arts and recreation services,26
South Yarra,2041,Jobs by industry,Arts and recreation services,27
South Yarra,2023,Jobs by industry,Business services,6
South Yarra,2025,Jobs by industry,Business services,28
South Yarra,2031,Jobs by industry,Business services,37
South Yarra,2032,Jobs by industry,Business services,37
South Yarra,2036,Jobs by industry,Business services,36
South Yarra,2037,Jobs by industry,Business services,36
South Yarra,2038,Jobs by industry,Business services,36
South Yarra,2040,Jobs by industry,Business services,36
South Yarra,2041,Jobs by industry,Business services,36
South Yarra,2025,Jobs by industry,Construction,0
South Yarra,2027,Jobs by industry,Construction,0
South Yarra,2028,Jobs by industry,Construction,0
South Yarra,2030,Jobs by industry,Construction,0
South Yarra,2021,Jobs by industry,Education and training,724
South Yarra,2026,Jobs by industry,Education and training,806
South Yarra,2027,Jobs by industry,Education and training,835
South Yarra,2028,Jobs by industry,Education and training,854
South Yarra,2034,Jobs by industry,Education and training,870
South Yarra,2035,Jobs by industry,Education and training,861
South Yarra,2038,Jobs by industry,Education and training,869
South Yarra,2039,Jobs by industry,Education and training,871
South Yarra,2041,Jobs by industry,Education and training,874
South Yarra,2022,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2024,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2025,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2026,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2028,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2030,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2031,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2032,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2038,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2041,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2024,Jobs by industry,Finance and insurance,1
South Yarra,2026,Jobs by industry,Finance and insurance,2
South Yarra,2035,Jobs by industry,Finance and insurance,2
South Yarra,2036,Jobs by industry,Finance and insurance,2
South Yarra,2037,Jobs by industry,Finance and insurance,2
South Yarra,2041,Jobs by industry,Finance and insurance,2
South Yarra,2021,Jobs by industry,Food and beverage services,164
South Yarra,2024,Jobs by industry,Food and beverage services,195
South Yarra,2030,Jobs by industry,Food and beverage services,240
South Yarra,2031,Jobs by industry,Food and beverage services,241
South Yarra,2032,Jobs by industry,Food and beverage services,241
South Yarra,2033,Jobs by industry,Food and beverage services,242
South Yarra,2040,Jobs by industry,Food and beverage services,245
South Yarra,2028,Jobs by industry,Health care and social assistance,409
South Yarra,2039,Jobs by industry,Health care and social assistance,412
South Yarra,2028,Jobs by industry,Information media and telecommunications,6
South Yarra,2029,Jobs by industry,Information media and telecommunications,6
South Yarra,2037,Jobs by industry,Information media and telecommunications,6
South Yarra,2022,Jobs by industry,Manufacturing,10
South Yarra,2027,Jobs by industry,Manufacturing,14
South Yarra,2028,Jobs by industry,Manufacturing,14
South Yarra,2031,Jobs by industry,Manufacturing,14
South Yarra,2032,Jobs by industry,Manufacturing,14
South Yarra,2034,Jobs by industry,Manufacturing,13
South Yarra,2036,Jobs by industry,Manufacturing,13
South Yarra,2039,Jobs by industry,Manufacturing,12
South Yarra,2040,Jobs by industry,Manufacturing,12
South Yarra,2041,Jobs by industry,Manufacturing,12
South Yarra,2023,Jobs by industry,Other services,26
South Yarra,2025,Jobs by industry,Other services,28
South Yarra,2027,Jobs by industry,Other services,29
South Yarra,2028,Jobs by industry,Other services,29
South Yarra,2030,Jobs by industry,Other services,27
South Yarra,2032,Jobs by industry,Other services,26
South Yarra,2036,Jobs by industry,Other services,24
South Yarra,2040,Jobs by industry,Other services,22
South Yarra,2022,Jobs by industry,Public administration and safety,30
South Yarra,2028,Jobs by industry,Public administration and safety,29
South Yarra,2029,Jobs by industry,Public administration and safety,27
South Yarra,2030,Jobs by industry,Public administration and safety,26
South Yarra,2032,Jobs by industry,Public administration and safety,34
South Yarra,2035,Jobs by industry,Public administration and safety,101
South Yarra,2037,Jobs by industry,Public administration and safety,97
South Yarra,2039,Jobs by industry,Public administration and safety,95
South Yarra,2028,Jobs by industry,Real estate services,0
South Yarra,2032,Jobs by industry,Real estate services,0
South Yarra,2038,Jobs by industry,Real estate services,0
South Yarra,2039,Jobs by industry,Real estate services,0
South Yarra,2040,Jobs by industry,Real estate services,0
South Yarra,2026,Jobs by industry,Rental and hiring services,0
South Yarra,2027,Jobs by industry,Rental and hiring services,0
South Yarra,2031,Jobs by industry,Rental and hiring services,0
South Yarra,2032,Jobs by industry,Rental and hiring services,0
South Yarra,2037,Jobs by industry,Rental and hiring services,0
South Yarra,2039,Jobs by industry,Rental and hiring services,0
South Yarra,2040,Jobs by industry,Rental and hiring services,0
South Yarra,2021,Jobs by industry,Retail trade,7
South Yarra,2024,Jobs by industry,Retail trade,10
South Yarra,2026,Jobs by industry,Retail trade,13
South Yarra,2030,Jobs by industry,Retail trade,14
South Yarra,2031,Jobs by industry,Retail trade,14
South Yarra,2040,Jobs by industry,Retail trade,16
South Yarra,2041,Jobs by industry,Retail trade,16
South Yarra,2021,Jobs by industry,"Transport, postal and storage",0
South Yarra,2022,Jobs by industry,"Transport, postal and storage",0
South Yarra,2029,Jobs by industry,"Transport, postal and storage",1
South Yarra,2031,Jobs by industry,"Transport, postal and storage",1
South Yarra,2032,Jobs by industry,"Transport, postal and storage",1
South Yarra,2033,Jobs by industry,"Transport, postal and storage",1
South Yarra,2035,Jobs by industry,"Transport, postal and storage",1
South Yarra,2038,Jobs by industry,"Transport, postal and storage",1
South Yarra,2021,Jobs by industry,Wholesale trade,0
South Yarra,2022,Jobs by industry,Wholesale trade,0
South Yarra,2025,Jobs by industry,Wholesale trade,0
South Yarra,2026,Jobs by industry,Wholesale trade,0
South Yarra,2028,Jobs by industry,Wholesale trade,0
South Yarra,2031,Jobs by industry,Wholesale trade,0
South Yarra,2034,Jobs by industry,Wholesale trade,0
South Yarra,2037,Jobs by industry,Wholesale trade,0
South Yarra,2041,Jobs by industry,Wholesale trade,0
Southbank,2022,Jobs by industry,Accommodation,2275
Southbank,2030,Jobs by industry,Accommodation,2620
Southbank,2033,Jobs by industry,Accommodation,2720
Southbank,2036,Jobs by industry,Accommodation,2781
Southbank,2037,Jobs by industry,Accommodation,2800
Southbank,2022,Jobs by industry,Admin and support services,1453
Southbank,2025,Jobs by industry,Admin and support services,1584
Southbank,2026,Jobs by industry,Admin and support services,1627
Southbank,2036,Jobs by industry,Admin and support services,1783
Southbank,2040,Jobs by industry,Admin and support services,1838
Southbank,2021,Jobs by industry,Agriculture and mining,730
Southbank,2025,Jobs by industry,Agriculture and mining,680
Southbank,2026,Jobs by industry,Agriculture and mining,667
